Station.ID,Capacity,Station.Name,Location
103,18,"Vicarage Gate, Kensington","(51.504723,-0.192538)"
104,34,"Crosswall, Tower","(51.511594,-0.077121)"
105,26,"Westbourne Grove, Bayswater","(51.515529,-0.19024)"
106,21,"Woodstock Street, Mayfair","(51.514105,-0.147301)"
107,20,"Finsbury Leisure Centre, St. Luke's","(51.526008,-0.096317)"
108,29,"Abbey Orchard Street, Westminster","(51.498125,-0.132102)"
109,56,"Soho Square , Soho","(51.515631,-0.132328)"
110,17,"Wellington Road, St. John's Wood","(51.533043,-0.172528)"
111,28,"Park Lane , Hyde Park","(51.510017,-0.157275)"
112,42,"Stonecutter Street, Holborn","(51.515809,-0.10527)"
113,19,"Gloucester Road (Central), South Kensington","(51.496462,-0.183289)"
114,22,"Park Road (Baker Street), The Regent's Park","(51.524517,-0.158963)"
115,34,"Braham Street, Aldgate","(51.514233,-0.073537)"
116,21,"Little Argyll Street, West End","(51.514499,-0.141423)"
117,25,"Lollard Street, Vauxhall","(51.49288,-0.114934)"
118,13,"Rochester Row, Westminster","(51.495827,-0.135478)"
119,18,"Bath Street, St. Luke's","(51.525893,-0.090847)"
120,17,"The Guildhall, Guildhall","(51.515735,-0.09308)"
121,22,"Baker Street, Marylebone","(51.518913,-0.156166)"
122,23,"Norton Folgate, Liverpool Street","(51.521113,-0.078869)"
123,18,"St. John Street, Finsbury","(51.52836,-0.104724)"
124,20,"Eaton Square, Belgravia","(51.496544,-0.150905)"
125,21,"Borough High Street, The Borough","(51.500694,-0.094524)"
126,52,"Museum of London, Barbican","(51.517821,-0.096496)"
127,17,"Wood Street, Guildhall","(51.517008,-0.093885)"
128,22,"Emperor's Gate, South Kensington","(51.495362,-0.185296)"
129,18,"Golden Square, Soho","(51.511897,-0.137043)"
130,24,"Tower Gardens , Tower","(51.509506,-0.075459)"
131,16,"Eversholt Street , Camden Town","(51.533005,-0.136792)"
132,38,"Bethnal Green Road, Shoreditch","(51.523648,-0.074754)"
133,18,"Derry Street, Kensington","(51.501364,-0.191462)"
134,20,"Wapping High Street, Wapping","(51.504904,-0.06797)"
135,21,"Clerkenwell Green, Clerkenwell","(51.52326,-0.104708)"
136,32,"Queen Victoria Street, St. Paul's","(51.511961,-0.097441)"
138,19,"Green Street, Mayfair","(51.512276,-0.157436)"
139,18,"Lambeth Road, Vauxhall","(51.494881,-0.117974)"
140,33,"Finsbury Square , Moorgate","(51.520962,-0.085634)"
141,29,"Chapel Place, Marylebone","(51.515308,-0.147203)"
142,24,"West Cromwell Road, Earl's Court","(51.493724,-0.198286)"
143,24,"Pont Street, Knightsbridge","(51.496886,-0.161203)"
144,47,"Kennington Cross, Kennington","(51.48894,-0.111435)"
145,24,"Ilchester Place, Kensington","(51.500743,-0.202759)"
146,35,"Vauxhall Bridge , Pimlico","(51.488365,-0.129361)"
148,16,"Tachbrook Street, Victoria","(51.492111,-0.138364)"
149,18,"Kennington Road Post Office, Oval","(51.484788,-0.110683)"
150,28,"Holy Trinity Brompton, Knightsbridge","(51.497056,-0.168917)"
151,26,"Chepstow Villas, Notting Hill","(51.512136,-0.201554)"
152,21,"Hampton Street, Walworth","(51.49217,-0.101536)"
153,27,"Bayswater Road, Hyde Park","(51.511933,-0.174411)"
154,35,"Waterloo Station 3, Waterloo","(51.503791,-0.112824)"
155,19,"Lexham Gardens, Kensington","(51.495866,-0.191933)"
156,33,"New Kent Road, The Borough","(51.494436,-0.092921)"
157,37,"Wright's Lane, Kensington","(51.500397,-0.193068)"
158,18,"Trebovir Road, Earl's Court","(51.490853,-0.19617)"
159,39,"Great Marlborough Street, Soho","(51.514619,-0.137841)"
160,20,"Waterloo Place, St. James's","(51.506633,-0.131773)"
161,16,"Guildhouse Street, Victoria","(51.492345,-0.141334)"
162,20,"Southampton Place, Holborn","(51.517606,-0.121328)"
163,27,"Sloane Avenue, Knightsbridge","(51.493184,-0.167894)"
164,16,"Cleveland Gardens, Bayswater","(51.515607,-0.183118)"
165,15,"Orsett Terrace, Bayswater","(51.517932,-0.183716)"
166,27,"Seville Street, Knightsbridge","(51.501855,-0.159237)"
