Station.ID,Capacity,Station.Name,Location
464,25,"St. Mary & St. Michael Church, Stepney","(51.51417,-0.052099)"
465,28,"Pitfield Street North,Hoxton","(51.53558,-0.08249)"
466,21,"Whiston Road, Haggerston","(51.534464,-0.076341)"
467,17,"Southern Grove, Bow","(51.523538,-0.030556)"
468,24,"Cantrell Road, Bow","(51.521564,-0.022694)"
469,44,"Lindfield Street, Poplar","(51.513757,-0.020467)"
470,46,"Mostyn Grove, Bow","(51.530535,-0.025492)"
471,19,"Hewison Street, Old Ford","(51.533283,-0.028155)"
472,21,"Malmesbury Road, Bow","(51.529452,-0.027616)"
473,19,"Millharbour, Millwall","(51.496137,-0.019355)"
474,39,"Castalia Square, Cubitt Town","(51.498125,-0.011457)"
475,57,"Lightermans Road, Millwall","(51.499041,-0.020157)"
476,29,"Stebondale Street, Cubitt Town","(51.489096,-0.009205)"
477,36,"Spindrift Avenue, Millwall","(51.49109,-0.018716)"
478,21,"Stepney Green Station, Stepney","(51.521889,-0.04667)"
479,20,"Pott Street, Bethnal Green","(51.527152,-0.058005)"
480,25,"Flamborough Street, Limehouse","(51.512871,-0.038986)"
481,35,"Saunders Ness Road, Cubitt Town","(51.487129,-0.009001)"
482,26,"Thornfield House, Poplar","(51.509843,-0.02377)"
483,33,"Albert Gardens, Stepney","(51.51328,-0.047784)"
484,24,"Bromley High Street, Bow","(51.528828,-0.013258)"
485,24,"Old Ford Road, Bethnal Green","(51.531127,-0.048017)"
486,37,"Granby Street, Shoreditch","(51.525645,-0.069543)"
487,23,"Canton Street, Poplar","(51.511811,-0.025626)"
488,22,"Reardon Street, Wapping","(51.506946,-0.058681)"
489,34,"Christian Street, Whitechapel","(51.513074,-0.064094)"
490,45,"Pennington Street, Wapping","(51.508622,-0.065006)"
491,45,"Queen Mary's, Mile End","(51.522507,-0.041378)"
492,63,"The Green Bridge, Mile End","(51.524677,-0.03562)"
494,36,"South Quay East, Canary Wharf","(51.50196,-0.016251)"
495,39,"Bow Church Station, Bow","(51.528169,-0.018703)"
496,39,"Devons Road, Bow","(51.52512,-0.015578)"
497,27,"Merchant Street, Bow","(51.526177,-0.027467)"
498,41,"Bow Road Station, Bow","(51.527058,-0.025296)"
499,36,"Furze Green, Bow","(51.519265,-0.021345)"
500,41,"Ansell House, Stepney","(51.519806,-0.055731)"
501,24,"Cephas Street, Bethnal Green","(51.522561,-0.054883)"
503,36,"Cleveland Way, Stepney","(51.520893,-0.051394)"
504,30,"St. John's Park, Cubitt Town","(51.496454,-0.009506)"
505,29,"Ackroyd Drive, Bow","(51.520398,-0.026768)"
506,23,"Bell Lane, Liverpool Street","(51.517475,-0.075855)"
507,31,"Clarkson Street, Bethnal Green","(51.528692,-0.059091)"
508,18,"Fournier Street, Whitechapel","(51.519362,-0.074431)"
509,19,"Fore Street, Guildhall","(51.517842,-0.090075)"
510,41,"Westferry DLR, Limehouse","(51.509303,-0.025996)"
511,33,"Sutton Street, Shadwell","(51.511066,-0.053558)"
512,30,"Pritchard's Road, Bethnal Green","(51.532091,-0.06142)"
513,51,"Watney Market, Stepney","(51.514222,-0.055656)"
514,17,"Portman Square, Marylebone","(51.516204,-0.155525)"
515,24,"Russell Gardens, Olympia","(51.500088,-0.211316)"
516,18,"Chrisp Street Market, Poplar","(51.5112,-0.014438)"
517,17,"Ford Road, Old Ford","(51.532513,-0.033085)"
518,30,"Antill Road, Mile End","(51.528224,-0.037471)"
519,33,"Teviot Street, Poplar","(51.518811,-0.011662)"
520,21,"Bancroft Road, Bethnal Green","(51.526041,-0.047218)"
521,19,"Driffield Road, Old Ford","(51.534137,-0.037366)"
522,36,"Clinton Road, Mile End","(51.525941,-0.036017)"
523,24,"Langdon Park, Poplar","(51.51549,-0.013475)"
524,38,"Lancaster Gate , Bayswater","(51.511654,-0.179668)"
526,27,"Lancaster Drive, Blackwall","(51.503143,-0.008428)"
527,20,"Hansard Mews, Holland Park","(51.503802,-0.215808)"
528,16,"Clarges Street, Mayfair","(51.507326,-0.145827)"
529,18,"Manresa Road, Chelsea","(51.486892,-0.170983)"
530,18,"Newby Place, Poplar","(51.508896,-0.012413)"
531,21,"Twig Folly Bridge, Mile End","(51.530326,-0.042744)"
532,63,"Jubilee Plaza, Canary Wharf","(51.50357,-0.020068)"
533,33,"Wellington Row, Bethnal Green","(51.528222,-0.069743)"
534,27,"Goldsmith's Row, Haggerston","(51.531864,-0.066035)"
535,24,"Gloucester Avenue, Camden Town","(51.537349,-0.147154)"
536,35,"Queensbridge Road, Haggerston","(51.53385,-0.06992)"
537,18,"Old Montague Street, Whitechapel","(51.51793,-0.067937)"
538,21,"Naval Row, Blackwall","(51.508981,-0.00699)"
539,22,"Hoxton Station, Hoxton","(51.531091,-0.075901)"
540,27,"Albany Street, The Regent's Park","(51.528302,-0.144466)"
541,28,"Green Park Station, Mayfair","(51.506613,-0.142844)"
542,33,"Salmon Lane, Limehouse","(51.514115,-0.033828)"
543,21,"Lansdowne Walk, Ladbroke Grove","(51.509591,-0.204666)"
544,22,"Percival Street, Finsbury","(51.526153,-0.102208)"
545,24,"Arlington Road, Camden Town","(51.539957,-0.145246)"
546,21,"New Fetter Lane, Holborn","(51.517428,-0.107987)"
547,51,"East India DLR, Blackwall","(51.509474,-0.002275)"
548,26,"Westminster Bridge Road, Elephant & Castle","(51.498386,-0.107913)"
549,45,"Gaywood  Street, Elephant & Castle","(51.49605,-0.104193)"
550,23,"Harford Street, Mile End","(51.521564,-0.039264)"
552,27,"Watney Street, Shadwell","(51.511542,-0.056667)"
553,24,"Regent's Row , Haggerston","(51.535678,-0.062546)"
554,16,"Aberfeldy Street, Poplar","(51.513548,-0.005659)"
556,27,"Heron Quays DLR, Canary Wharf","(51.502661,-0.021596)"
557,20,"King Edward Street, St Pauls","(51.51601,-0.0985)"
558,24,"Page Street, Westminster","(51.493978,-0.127554)"
559,24,"Abbotsbury Road, Holland Park","(51.501391,-0.205991)"
560,21,"Ladbroke Grove Central, Ladbroke Grove","(51.511624,-0.205921)"
561,22,"Rectory Square, Stepney","(51.518369,-0.043371)"
562,21,"Bury Place, Holborn","(51.51746,-0.12335)"
563,26,"Preston's Road, Cubitt Town","(51.499286,-0.009152)"
564,41,"Somerset House, Strand","(51.509943,-0.117619)"
566,42,"Westfield Ariel Way, White City","(51.509158,-0.224103)"
568,18,"Bishop's Bridge Road West, Bayswater","(51.51616,-0.18697)"
569,30,"Pitfield Street Central, Hoxton","(51.53213,-0.08299)"
570,36,"Upper Bank Street, Canary Wharf","(51.503083,-0.017676)"
571,29,"Westfield Southern Terrace ,Shepherd's Bush","(51.506256,-0.218337)"
572,36,"Greenland Road, Camden Town","(51.539099,-0.141728)"
573,18,"Limerston Street, West Chelsea","(51.485587,-0.18119)"
574,45,"Eagle Wharf Road, Hoxton","(51.53356,-0.09315)"
576,22,"Alpha Grove, Millwall","(51.497304,-0.022793)"
577,20,"Globe Town Market, Bethnal Green","(51.528869,-0.047548)"
578,32,"Hollybush Gardens, Bethnal Green","(51.527607,-0.057133)"
579,36,"Queen Street 2, Bank","(51.511246,-0.093051)"
580,36,"Doddington Grove, Kennington","(51.486929,-0.102996)"
581,18,"New Cavendish Street, Marylebone","(51.519167,-0.147983)"
583,20,"Abingdon Green, Westminster","(51.497622,-0.125978)"
584,21,"Ilchester Gardens, Bayswater","(51.51244,-0.19096)"
586,31,"Mudchute DLR, Cubitt Town","(51.490645,-0.014582)"
587,22,"Monument Street, Monument","(51.50964,-0.08497)"
588,27,"Hoxton Street, Hoxton","(51.52959,-0.0801)"
589,18,"Drayton Gardens, West Chelsea","(51.487196,-0.179369)"
590,26,"Greenberry Street, St.John's Wood","(51.53256,-0.16862)"
591,27,"Westfield Library Corner, Shepherd's Bush","(51.506093,-0.224223)"
592,20,"Bishop's Bridge Road East, Bayswater","(51.5171,-0.18377)"
593,21,"Northdown Street, King's Cross","(51.531066,-0.11934)"
594,33,"Kingsway Southbound, Strand","(51.513875,-0.117774)"
595,22,"Hammersmith Road, Hammersmith","(51.493267,-0.21985)"
596,21,"Parson's Green , Parson's Green","(51.472817,-0.199783)"
597,27,"Fulham Park Road, Fulham","(51.473471,-0.20782)"
598,38,"Southerton Road, Hammersmith","(51.494499,-0.228188)"
599,28,"Manbre Road, Hammersmith","(51.485743,-0.223616)"
600,21,"South Lambeth Road, Vauxhall","(51.481747,-0.124642)"
601,36,"BBC White City, White City","(51.514767,-0.225787)"
602,45,"Union Grove, Wandsworth Road","(51.472993,-0.133972)"
603,44,"Caldwell Street, Stockwell","(51.477839,-0.116493)"
604,18,"St Martins Close, Camden Town","(51.538792,-0.138535)"
605,29,"Seymour Place, Marylebone","(51.520331,-0.163667)"
606,26,"Addison Road, Holland Park","(51.504199,-0.210941)"
607,21,"Putney Bridge Station, Fulham","(51.468814,-0.210279)"
608,30,"Colet Gardens, Hammersmith","(51.491093,-0.216493)"
609,19,"Sugden Road, Clapham","(51.465123,-0.157788)"
610,21,"Danvers Street, West Chelsea","(51.482567,-0.172078)"
611,20,"Princedale Road , Holland Park","(51.506465,-0.208486)"
612,30,"Wandsworth Rd, Isley Court, Wandsworth Road","(51.469259,-0.141812)"
613,24,"Woodstock Grove, Shepherd's Bush","(51.504038,-0.2174)"
614,40,"Bradmead, Battersea Park","(51.478172,-0.14469)"
615,24,"Finlay Street, Fulham","(51.476885,-0.215895)"
616,24,"Aintree Street, Fulham","(51.481021,-0.209973)"
617,21,"Elysium Place, Fulham","(51.471079,-0.207842)"
618,24,"Eel Brook Common, Walham Green","(51.476259,-0.193254)"
619,43,"Irene Road, Parsons Green","(51.473763,-0.19701)"
620,28,"Surrey Lane, Battersea","(51.47518,-0.16716)"
621,33,"Wandsworth Town Station, Wandsworth","(51.460864,-0.187427)"
622,29,"Lansdowne Road, Ladbroke Grove","(51.507481,-0.205535)"
623,22,"Nantes Close, Wandsworth","(51.46193,-0.180791)"
624,40,"Courland Grove, Wandsworth Road","(51.472918,-0.132102)"
625,28,"Queen's Circus, Battersea Park","(51.477619,-0.149551)"
626,24,"Normand Park, West Kensington","(51.484386,-0.204815)"
627,20,"Holden Street, Battersea","(51.46879,-0.15823)"
628,26,"William Morris Way, Sands End","(51.468819,-0.184318)"
629,28,"Morie Street, Wandsworth","(51.459953,-0.190184)"
630,28,"Clarence Walk, Stockwell","(51.470732,-0.126994)"
631,27,"Battersea Park Road, Nine Elms","(51.479501,-0.14177)"
632,27,"Sheepcote Lane, Battersea","(51.470538,-0.163041)"
633,32,"Vereker Road, West Kensington","(51.489591,-0.209378)"
634,33,"Brook Green South, Brook Green","(51.494347,-0.215804)"
635,37,"Greyhound Road, Hammersmith","(51.486062,-0.214428)"
636,27,"South Park, Sands End","(51.467064,-0.193502)"
637,25,"Spencer Park, Wandsworth Common","(51.45787,-0.174691)"
638,28,"Falcon Road, Clapham Junction","(51.466633,-0.169821)"
639,27,"Coomer Place, West Kensington","(51.48357,-0.202038)"
640,28,"Silverthorne Road, Battersea","(51.472865,-0.148059)"
641,23,"Archbishop's Park, Waterloo","(51.498241,-0.117495)"
642,36,"Fawcett Close, Battersea","(51.469161,-0.174485)"
643,22,"All Saints' Road, Portobello","(51.519042,-0.204764)"
644,36,"Rainville Road, Hammersmith","(51.483732,-0.223852)"
645,21,"Great Suffolk Street, The Borough","(51.501732,-0.100292)"
646,16,"Buckingham Gate, Westminster","(51.498865,-0.137424)"
647,27,"Richmond Way, Shepherd's Bush","(51.500353,-0.217515)"
648,30,"Peterborough Road, Sands End","(51.46904,-0.196274)"
649,22,"World's End Place, West Chelsea","(51.481805,-0.180274)"
650,23,"St. Mark's Road, North Kensington","(51.51687,-0.213872)"
651,25,"Thorndike Close, West Chelsea","(51.480898,-0.183853)"
652,29,"Evesham Street, Avondale","(51.511486,-0.21819)"
653,25,"Simpson Street, Clapham Junction","(51.470847,-0.170703)"
654,34,"Ashmole Estate, Oval","(51.482678,-0.117661)"
655,27,"Crabtree Lane, Fulham","(51.482944,-0.219346)"
656,29,"Broomhouse Lane, Parsons Green","(51.468418,-0.199135)"
657,21,"Blythe Road West, Shepherd's Bush","(51.49968,-0.221791)"
658,30,"Ethelburga Estate, Battersea Park","(51.477292,-0.164786)"
659,57,"Grant Road West, Clapham Junction","(51.46437,-0.174619)"
660,22,"West Kensington Station, West Kensington","(51.49087,-0.206029)"
661,37,"All Saints Church, Portobello","(51.51632,-0.202608)"
662,24,"Phene Street, Chelsea","(51.484984,-0.167919)"
663,24,"Clarendon Road, Avondale","(51.51323,-0.211593)"
664,24,"Austin Road, Battersea Park","(51.474376,-0.155442)"
665,28,"Smugglers Way, Wandsworth","(51.461083,-0.191722)"
666,38,"Olympia Way, Olympia","(51.4961,-0.208158)"
667,34,"Shepherd's Bush Road North, Shepherd's Bush","(51.501594,-0.222293)"
668,26,"Ravenscourt Park Station, Hammersmith","(51.494223,-0.236769)"
669,39,"Teversham Lane, Stockwell","(51.476149,-0.123258)"
670,28,"Ashley Crescent, Battersea","(51.467185,-0.152248)"
671,56,"Parsons Green Station, Parsons Green","(51.475089,-0.201968)"
672,28,"Grant Road Central, Clapham Junction","(51.464688,-0.173656)"
673,36,"Hibbert Street, Battersea","(51.46517,-0.180389)"
674,40,"Carnegie Street, King's Cross","(51.535467,-0.116191)"
675,30,"Usk Road, Clapham Junction","(51.463489,-0.182126)"
676,35,"Hartington Road, Stockwell","(51.47787,-0.126874)"
677,27,"Heath Road, Battersea","(51.468669,-0.146544)"
678,30,"Esmond Street, Putney","(51.462312,-0.211468)"
679,26,"Orbel Street, Battersea","(51.474535,-0.17021)"
680,28,"Westbridge Road, Battersea","(51.477684,-0.170329)"
681,46,"Bishop's Avenue, Fulham","(51.473036,-0.214749)"
682,46,"Crisp Road, Hammersmith","(51.488108,-0.226606)"
683,28,"Dorothy Road, Clapham Junction","(51.465064,-0.16375)"
684,32,"Neville Gill Close, Wandsworth","(51.454752,-0.195197)"
685,30,"Osiers Road, Wandsworth","(51.46067,-0.198735)"
686,26,"Beryl Road, Hammersmith","(51.488144,-0.222456)"
687,26,"Maclise Road, Olympia","(51.497608,-0.211455)"
688,28,"Northfields, Wandsworth","(51.460951,-0.200667)"
689,30,"Spanish Road, Clapham Junction","(51.459225,-0.180884)"
690,24,"Stanley Grove, Battersea","(51.470475,-0.15213)"
691,24,"Erin Close, Walham Green","(51.479463,-0.195777)"
692,22,"Cadogan Close, Victoria Park","(51.542118,-0.028941)"
693,18,"Felsham Road, Putney","(51.464786,-0.215618)"
694,20,"Putney Rail Station, Putney","(51.460717,-0.216526)"
695,21,"Islington Green, Angel","(51.536384,-0.102757)"
696,21,"Charing Cross Hospital, Hammersmith","(51.487285,-0.217995)"
697,25,"Charlotte Terrace, Angel","(51.536392,-0.112721)"
698,35,"Shoreditch Court, Haggerston","(51.539083,-0.070329)"
699,39,"Belford House, Haggerston","(51.536654,-0.07023)"
700,25,"Battersea Church Road, Battersea","(51.476964,-0.174347)"
701,30,"Vicarage Crescent, Battersea","(51.472876,-0.176267)"
702,24,"Durant Street, Bethnal Green","(51.528681,-0.06555)"
703,25,"St. Bride Street, Holborn","(51.515059,-0.105344)"
704,18,"Mexfield Road, East Putney","(51.45682,-0.202802)"
706,31,"Snowsfields, London Bridge","(51.502153,-0.083632)"
707,32,"Barons Court Station, West Kensington","(51.490217,-0.215087)"
708,33,"Disraeli Road, Putney","(51.46161,-0.216145)"
709,23,"Montserrat Road , Putney","(51.463211,-0.21555)"
710,20,"Albert Bridge Road, Battersea Park","(51.474392,-0.163347)"
711,31,"Everington Street, Fulham","(51.483356,-0.216305)"
712,22,"Mile End Stadium, Mile End","(51.518541,-0.034903)"
713,22,"Hawley Crescent, Camden Town","(51.541007,-0.14326)"
714,28,"Stewart's Road, Wandsworth Road","(51.473116,-0.137235)"
715,22,"Aylward Street, Stepney","(51.51563,-0.049067)"
716,24,"Stainsby Road , Poplar","(51.515427,-0.023565)"
717,43,"Dunston Road , Haggerston","(51.536585,-0.075885)"
718,45,"Ada Street, Hackney Central","(51.535716,-0.060291)"
719,34,"Victoria Park Road, Hackney Central","(51.536424,-0.054162)"
720,23,"Star Road, West Kensington","(51.487244,-0.205279)"
721,18,"Wendon Street, Old Ford","(51.536039,-0.026262)"
722,19,"Finnis Street, Bethnal Green","(51.524583,-0.058631)"
723,48,"Stephendale Road, Sands End","(51.46822,-0.190346)"
724,28,"Alma Road, Wandsworth","(51.457991,-0.184806)"
725,28,"Thessaly Road North, Wandsworth Road","(51.477322,-0.138748)"
726,22,"Alfreda Street, Battersea Park","(51.47505,-0.150908)"
727,23,"Chesilton Road, Fulham","(51.475698,-0.205876)"
728,29,"Putney Bridge Road, East Putney","(51.461999,-0.20624)"
729,24,"St. Peter's Terrace, Fulham","(51.478939,-0.208485)"
730,18,"Bridge Avenue, Hammersmith","(51.492084,-0.229116)"
731,37,"Michael Road, Walham Green","(51.477276,-0.18921)"
732,21,"Duke Street Hill, London Bridge","(51.506304,-0.087262)"
733,18,"Park Lane, Mayfair","(51.505426,-0.150817)"
734,31,"Plough Terrace, Clapham Junction","(51.462305,-0.175407)"
735,35,"Grant Road East, Clapham Junction","(51.464894,-0.173029)"
736,28,"Queensdale Road, Shepherd's Bush","(51.50659,-0.216104)"
737,26,"Fulham Broadway, Walham Green","(51.479932,-0.194116)"
738,37,"Imperial Road, Sands End","(51.475142,-0.187278)"
739,28,"Hortensia Road, West Brompton","(51.481765,-0.185273)"
740,26,"Sirdar Road, Avondale","(51.510928,-0.214594)"
741,23,"Freston Road, Avondale","(51.512981,-0.219486)"
742,22,"Blenheim Crescent, Ladbroke Grove","(51.515108,-0.208565)"
743,29,"Oxford Road, Putney","(51.460792,-0.212607)"
744,30,"Ingrave Street, Clapham Junction","(51.467454,-0.172293)"
745,29,"Upcerne Road, West Chelsea","(51.478169,-0.182435)"
746,24,"Lots Road, West Chelsea","(51.479573,-0.179038)"
747,24,"Ormonde Gate, Chelsea","(51.487964,-0.161765)"
748,25,"Hertford Road, De Beauvoir Town","(51.537277,-0.079201)"
749,37,"Haggerston Road, Haggerston","(51.539328,-0.074284)"
750,27,"Culvert Road, Battersea","(51.471095,-0.15785)"
751,24,"Newton Street, Covent Garden","(51.516128,-0.120909)"
752,29,"Manfred Road, East Putney","(51.458164,-0.206002)"
753,28,"Hammersmith Town Hall, Hammersmith","(51.492636,-0.234094)"
754,24,"Grenfell Road, Avondale","(51.5129,-0.214762)"
755,24,"The Vale, Chelsea","(51.485121,-0.174971)"
756,21,"Prince of Wales Drive, Battersea Park","(51.475153,-0.159169)"
757,24,"Harcourt Terrace, West Brompton","(51.487958,-0.187404)"
758,23,"Westbourne Park Road, Portobello","(51.51787,-0.201005)"
759,18,"Broadley Terrace, Marylebone","(51.524561,-0.165668)"
760,18,"Rossmore Road, Marylebone","(51.525269,-0.163795)"
761,26,"Humbolt Road, Fulham","(51.483217,-0.21186)"
762,21,"Storey's Gate, Westminster","(51.500703,-0.129698)"
763,47,"Mile End Park Leisure Centre, Mile End","(51.520597,-0.032566)"
764,33,"St. John's Road, Clapham Junction","(51.462392,-0.168292)"
765,39,"Ranelagh Gardens, Fulham","(51.467601,-0.206827)"
766,25,"Ram Street, Wandsworth","(51.457529,-0.192165)"
767,30,"Santos Road, Wandsworth","(51.457059,-0.200806)"
768,37,"Clapham Common North Side, Clapham Common","(51.461343,-0.159322)"
769,21,"Sandilands Road, Walham Green","(51.473611,-0.191803)"
770,30,"Gwendwr Road, West Kensington","(51.491026,-0.209121)"
771,21,"Rifle Place, Avondale","(51.509224,-0.216016)"
772,35,"Binfield Road, Stockwell","(51.472509,-0.122831)"
773,24,"Tallis Street, Temple","(51.511891,-0.107349)"
774,20,"Hurlingham Park, Parsons Green","(51.470131,-0.20464)"
775,33,"Little Brook Green, Brook Green","(51.496664,-0.223868)"
776,20,"Abyssinia Close, Clapham Junction","(51.460333,-0.167029)"
777,21,"Limburg Road, Clapham Junction","(51.461923,-0.165297)"
779,28,"Houndsditch, Aldgate","(51.514449,-0.077178)"
780,25,"Imperial Wharf Station, Sands End","(51.474665,-0.183165)"
781,30,"Victoria & Albert Museum, South Kensington","(51.495898,-0.173009)"
782,24,"Halford Road, West Kensington","(51.483911,-0.197609)"
784,34,"East Village, Queen Elizabeth Olympic Park","(51.546326,-0.009935)"
785,64,"Aquatic Centre, Queen Elizabeth Olympic Park","(51.54094,-0.01051)"
786,44,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.549369,-0.015717)"
787,35,"Timber Lodge, Queen Elizabeth Olympic Park","(51.546805,-0.014691)"
788,33,"Copper Box Arena, Queen Elizabeth Olympic Park","(51.544836,-0.019524)"
789,40,"Podium, Queen Elizabeth Olympic Park","(51.538718,-0.011889)"
790,28,"Stratford Station, Stratford","(51.541793,-0.00481)"
792,42,"Blackfriars Road, Southwark","(51.505461,-0.10454)"
793,28,"Cromer Street, Bloomsbury","(51.528279,-0.119558)"
794,28,"Lansdowne Way Bus Garage, Stockwell","(51.474567,-0.12458)"
795,28,"Melton Street, Euston","(51.527566,-0.134849)"
796,29,"Coram Street, Bloomsbury","(51.524,-0.126409)"
797,30,"Ossulston Street, Somers Town","(51.5293,-0.128279)"
798,27,"Birkenhead Street, King's Cross","(51.530199,-0.122299)"
800,30,"Sopwith Way, Battersea Park","(51.481121,-0.149035)"
801,29,"Lavington Street, Bankside","(51.505224,-0.098031)"
802,32,"Albert Square, Stockwell","(51.47659,-0.118256)"
803,23,"Southwark Street, Bankside","(51.505409,-0.098341)"
804,27,"Good's Way, King's Cross","(51.534667,-0.125078)"
805,27,"Bevington Road, North Kensington","(51.520069,-0.206338)"
806,27,"Handyside Street, King's Cross","(51.53724,-0.124807)"
807,24,"Bevington Road West, North Kensington","(51.5212,-0.208888)"
808,33,"Stockwell Roundabout, Stockwell","(51.473486,-0.122555)"
809,28,"Lincoln's Inn Fields, Holborn","(51.516277,-0.118272)"
810,30,"Tate Modern, Bankside","(51.506725,-0.098807)"
811,36,"Westferry Circus, Canary Wharf","(51.505703,-0.027772)"
812,28,"Here East North, Queen Elizabeth Olympic Park","(51.548731,-0.022606)"
813,37,"New Spring Gardens Walk, Vauxhall","(51.487807,-0.122759)"
814,30,"Clapham Road, Lingham Street, Stockwell","(51.471433,-0.12367)"
815,35,"Lambeth Palace Road, Waterloo","(51.500089,-0.116628)"
816,28,"Here East South, Queen Elizabeth Olympic Park","(51.546532,-0.020597)"
817,26,"Riverlight South, Nine Elms","(51.481335,-0.138212)"
818,13,"One Tower Bridge, Bermondsey","(51.503127,-0.078655)"
819,38,"Belvedere Road 2, South Bank","(51.50621,-0.114842)"
820,24,"Victory Place, Walworth","(51.492807,-0.091938)"
821,27,"Battersea Power Station, Battersea Park","(51.483507,-0.147714)"
826,28,"Allington street, Westminster","(51.496863,-0.142943)"
799,24,"Kings Gate House, Westminster","(51.497698,-0.137598)"
69,22,"Euston Road, Euston","(51.526236,-0.134407)"
83,21,"Panton Street, West End","(51.509639,-0.13151)"
187,24,"Queen's Gate (South), South Kensington","(51.492479,-0.178433)"
188,18,"Nutford Place, Marylebone","(51.516517,-0.164393)"
189,18,"Claremont Square, Angel","(51.531666,-0.109914)"
190,21,"Rampayne Street, Pimlico","(51.489975,-0.132845)"
194,56,"Hop Exchange, The Borough","(51.504627,-0.091773)"
195,30,"Milroy Walk, South Bank","(51.507244,-0.106237)"
196,17,"Union Street, The Borough","(51.503688,-0.098497)"
197,27,"Stamford Street, South Bank","(51.505569,-0.111606)"
